UID,lastName,firstName,state,party,party_code,district
A000375,Arrington,Jodey C.,Texas,Republican,R,19
K000392,Kustoff,David,Tennessee,Republican,R,8
F000466,Fitzpatrick,Brian K.,Pennsylvania,Republican,R,1
E000297,Espaillat,Adriano,New York,Democratic,D,13
G000583,Gottheimer,Josh,New Jersey,Democratic,D,5
B001298,Bacon,Don,Nebraska,Republican,R,2
B001301,Bergman,Jack,Michigan,Republican,R,1
R000606,Raskin,Jamie,Maryland,Democratic,D,8
J000299,Johnson,Mike,Louisiana,Republican,R,4
H001077,Higgins,Clay,Louisiana,Republican,R,3
K000391,Krishnamoorthi,Raja,Illinois,Democratic,D,8
S001200,Soto,Darren,Florida,Democratic,D,9
C001110,Correa,J. Luis,California,Democratic,D,46
B001300,Barragán,Nanette Diaz,California,Democratic,D,44
C001112,Carbajal,Salud O.,California,Democratic,D,24
H001066,Horsford,Steven,Nevada,Democratic,D,4
S001190,Schneider,Bradley Scott,Illinois,Democratic,D,10
W000806,Webster,Daniel,Florida,Republican,R,11
C001055,Case,Ed,Hawaii,Democratic,D,1
M001241,Min,Dave,California,Democratic,D,47
H001100,Hurd,Jeff,Colorado,Republican,R,3
B001302,Biggs,Andy,Arizona,Republican,R,5
K000389,Khanna,Ro,California,Democratic,D,17
C001108,Comer,James,Kentucky,Republican,R,1
D000626,Davidson,Warren,Ohio,Republican,R,8
K000388,Kelly,Trent,Mississippi,Republican,R,1
G000576,Grothman,Glenn,Wisconsin,Republican,R,6
N000189,Newhouse,Dan,Washington,Republican,R,4
P000610,Plaskett,Stacey E.,Virgin Islands,Democratic,D,0
B001292,Beyer,Donald S.,Virginia,Democratic,D,8
B001291,Babin,Brian,Texas,Republican,R,36
S001196,Stefanik,Elise M.,New York,Republican,R,21
W000822,Watson Coleman,Bonnie,New Jersey,Democratic,D,12
R000603,Rouzer,David,North Carolina,Republican,R,7
E000294,Emmer,Tom,Minnesota,Republican,R,6
M001196,Moulton,Seth,Massachusetts,Democratic,D,6
B001295,Bost,Mike,Illinois,Republican,R,12
A000372,Allen,Rick W.,Georgia,Republican,R,12
L000583,Loudermilk,Barry,Georgia,Republican,R,11
C001103,Carter,"Earl L. ""Buddy""",Georgia,Republican,R,1
T000474,Torres,Norma J.,California,Democratic,D,35
W000821,Westerman,Bruce,Arkansas,Republican,R,4
H001072,Hill,J. French,Arkansas,Republican,R,2
R000600,Radewagen,Aumua Amata Coleman,American Samoa,Republican,R,0
P000609,Palmer,Gary J.,Alabama,Republican,R,6
N000188,Norcross,Donald,New Jersey,Democratic,D,1
A000370,Adams,Alma S.,North Carolina,Democratic,D,12
C001101,Clark,Katherine M.,Massachusetts,Democratic,D,5
S001195,Smith,Jason,Missouri,Republican,R,8
B001282,Barr,Andy,Kentucky,Republican,R,6
C001067,Clarke,Yvette D.,New York,Democratic,D,9
T000469,Tonko,Paul,New York,Democratic,D,20
K000385,Kelly,Robin L.,Illinois,Democratic,D,2
M001137,Meeks,Gregory W.,New York,Democratic,D,5
V000081,Velázquez,Nydia M.,New York,Democratic,D,7
T000463,Turner,Michael R.,Ohio,Republican,R,10
T000491,Tran,Derek,California,Democratic,D,45
P000607,Pocan,Mark,Wisconsin,Democratic,D,2
V000131,Veasey,Marc A.,Texas,Democratic,D,33
W000816,Williams,Roger,Texas,Republican,R,25
W000814,Weber,Randy K. Sr.,Texas,Republican,R,14
J000295,Joyce,David P.,Ohio,Republican,R,14
B001281,Beatty,Joyce,Ohio,Democratic,D,3
J000294,Jeffries,Hakeem S.,New York,Democratic,D,8
M001188,Meng,Grace,New York,Democratic,D,6
B001285,Brownley,Julia,California,Democratic,D,26
H001068,Huffman,Jared,California,Democratic,D,2
D000617,DelBene,Suzan K.,Washington,Democratic,D,1
M001184,Massie,Thomas,Kentucky,Republican,R,4
B001278,Bonamici,Suzanne,Oregon,Democratic,D,1
A000369,Amodei,Mark E.,Nevada,Republican,R,2
W000804,Wittman,Robert J.,Virginia,Republican,R,1
G000568,Griffith,H. Morgan,Virginia,Republican,R,9
D000616,DesJarlais,Scott,Tennessee,Republican,R,4
F000459,Fleischmann,"Charles J. ""Chuck""",Tennessee,Republican,R,3
H001052,Harris,Andy,Maryland,Republican,R,1
K000375,Keating,William R.,Massachusetts,Democratic,D,9
S001189,Scott,Austin,Georgia,Republican,R,8
W000808,Wilson,Frederica S.,Florida,Democratic,D,24
W000809,Womack,Steve,Arkansas,Republican,R,3
S001185,Sewell,Terri A.,Alabama,Democratic,D,7
C001068,Cohen,Steve,Tennessee,Democratic,D,9
J000289,Jordan,Jim,Ohio,Republican,R,4
B001260,Buchanan,Vern,Florida,Republican,R,16
C001066,Castor,Kathy,Florida,Democratic,D,14
B001257,Bilirakis,Gus M.,Florida,Republican,R,12
Q000023,Quigley,Mike,Illinois,Democratic,D,5
T000468,Titus,Dina,Nevada,Democratic,D,1
P000597,Pingree,Chellie,Maine,Democratic,D,1
G000558,Guthrie,Brett,Kentucky,Republican,R,2
H001047,Himes,James A.,Connecticut,Democratic,D,4
S001176,Scalise,Steve,Louisiana,Republican,R,1
F000454,Foster,Bill,Illinois,Democratic,D,11
C001072,Carson,André,Indiana,Democratic,D,7
M000312,McGovern,James P.,Massachusetts,Democratic,D,2
N000015,Neal,Richard E.,Massachusetts,Democratic,D,1
M001160,Moore,Gwen,Wisconsin,Democratic,D,4
S001156,Sánchez,Linda T.,California,Democratic,D,38
L000562,Lynch,Stephen F.,Massachusetts,Democratic,D,8
S001231,Simon,Lateefah,California,Democratic,D,12
R000621,Randall,Emily,Washington,Democratic,D,6
R000620,Rivas,Luz M.,California,Democratic,D,29
L000607,Liccardo,Sam T.,California,Democratic,D,16
H001098,Hamadeh,Abraham J.,Arizona,Republican,R,8
G000605,Gray,Adam,California,Democratic,D,13
B001323,Begich,Nicholas J.,Alaska,Republican,R,0
A000381,Ansari,Yassamin,Arizona,Democratic,D,3
S001172,Smith,Adrian,Nebraska,Republican,R,3
J000288,Johnson,"Henry C. ""Hank""",Georgia,Democratic,D,4
C001069,Courtney,Joe,Connecticut,Democratic,D,2
P000034,Pallone,Frank,New Jersey,Democratic,D,6
S001148,Simpson,Michael K.,Idaho,Republican,R,2
S001145,Schakowsky,Janice D.,Illinois,Democratic,D,9
L000557,Larson,John B.,Connecticut,Democratic,D,1
S000510,Smith,Adam,Washington,Democratic,D,9
D000197,DeGette,Diana,Colorado,Democratic,D,1
D000096,Davis,Danny K.,Illinois,Democratic,D,7
A000055,Aderholt,Robert B.,Alabama,Republican,R,4
T000193,Thompson,Bennie G.,Mississippi,Democratic,D,2
S000522,Smith,Christopher H.,New Jersey,Republican,R,4
S000185,Scott,"Robert C. ""Bobby""",Virginia,Democratic,D,3
R000395,Rogers,Harold,Kentucky,Republican,R,5
B000490,Bishop,Sanford D.,Georgia,Democratic,D,2
L000491,Lucas,Frank D.,Oklahoma,Republican,R,3
C001063,Cuellar,Henry,Texas,Democratic,D,28
M001157,McCaul,Michael T.,Texas,Republican,R,10
F000450,Foxx,Virginia,North Carolina,Republican,R,5
C001061,Cleaver,Emanuel,Missouri,Democratic,D,5
C001051,Carter,John R.,Texas,Republican,R,31
C001053,Cole,Tom,Oklahoma,Republican,R,4
R000575,Rogers,Mike D.,Alabama,Republican,R,3
W000795,Wilson,Joe,South Carolina,Republican,R,2
L000560,Larsen,Rick,Washington,Democratic,D,2
G000546,Graves,Sam,Missouri,Republican,R,6
M001143,McCollum,Betty,Minnesota,Democratic,D,4
C000537,Clyburn,James E.,South Carolina,Democratic,D,6
K000009,Kaptur,Marcy,Ohio,Democratic,D,9
H000874,Hoyer,Steny H.,Maryland,Democratic,D,5
N000127,Nolan,Richard M.,Minnesota,Democratic,D,8
A000213,Anthony,"Beryl, Jr.",Arkansas,Democratic,D,4
W000823,Waltz,Michael,Florida,Republican,R,6
G000579,Gallagher,Mike,Wisconsin,Republican,R,8
G000578,Gaetz,Matt,Florida,Republican,R,1
J000292,Johnson,Bill,Ohio,Republican,R,6
H001038,Higgins,Brian,New York,Democratic,D,26
S000847,Steiger,William A.,Wisconsin,Republican,R,6
O000001,Oakar,Mary Rose,Ohio,Democratic,D,20
B001153,Burton,John,California,Democratic,D,5
G000590,Green,Mark E.,Tennessee,Republican,R,7
C000994,Cunningham,Randy (Duke),California,Republican,R,50
C000243,Castle,Michael N.,Delaware,Republican,R,0
C000488,Clay,William (Bill),Missouri,Democratic,D,1
M000309,McCarthy,Carolyn,New York,Democratic,D,4
W000520,Williams,Pat,Montana,Democratic,D,0
F000460,Farenthold,Blake,Texas,Republican,R,27
N000019,Nedzi,Lucien N.,Michigan,Democratic,D,14
R000053,Rangel,Charles B.,New York,Democratic,D,13
C001078,Connolly,Gerald E.,Virginia,Democratic,D,11
B000611,Bond,Christopher S.,Missouri,Republican,R,0
M000566,McMillan,J. Alex,North Carolina,Republican,R,9
S001101,Sweeney,David McCann,Texas,Republican,R,14
F000116,Filner,Bob,California,Democratic,D,51
C001084,Cicilline,David N.,Rhode Island,Democratic,D,1
M001165,McCarthy,Kevin,California,Republican,R,20
L000556,LaFalce,John J.,New York,Democratic,D,29
G000551,Grijalva,Raúl M.,Arizona,Democratic,D,7
W000194,Watkins,Wes,Oklahoma,Republican,R,3
J000189,Johnston,J. Bennett,Louisiana,Democratic,D,0
L000584,Love,Mia B.,Utah,Republican,R,4
L000480,Lowey,Nita M.,New York,Democratic,D,17
S000429,Simpson,Alan K.,Wyoming,Republican,R,0
D000299,Diaz-Balart,Lincoln,Florida,Republican,R,21
T000489,Turner,Sylvester,Texas,Democratic,D,18
B001220,Byron,Beverly B.,Maryland,Democratic,D,6
B000639,Boren,David L.,Oklahoma,Democratic,D,0
T000400,Tucker,"James G., Jr. (Jim Guy)",Arkansas,Democratic,D,2
G000595,Good,Bob,Virginia,Republican,R,5
M000639,Menendez,Robert,New Jersey,Democratic,D,0
P000096,Pascrell,Bill,New Jersey,Democratic,D,9
A000377,Armstrong,Kelly,North Dakota,Republican,R,0
R000595,Rubio,Marco,Florida,Republican,R,0
V000137,Vance,J. D.,Ohio,Republican,R,0
M000023,MacKay,Buddy,Florida,Democratic,D,6
W000828,Williams,Brandon,New York,Republican,R,22
W000826,Wild,Susan,Pennsylvania,Democratic,D,7
W000825,Wexton,Jennifer,Virginia,Democratic,D,10
W000815,Wenstrup,Brad R.,Ohio,Republican,R,2
T000483,Trone,David J.,Maryland,Democratic,D,6
S001209,Spanberger,Abigail Davis,Virginia,Democratic,D,7
S001177,Sablan,Gregorio Kilili Camacho,Northern Mariana Islands,Democratic,D,0
S001168,Sarbanes,John P.,Maryland,Democratic,D,3
S001135,Steel,Michelle,California,Republican,R,45
R000576,Ruppersberger,C. A. Dutch,Maryland,Democratic,D,2
R000103,Rosendale,Matthew M.,Montana,Republican,R,2
P000619,Peltola,Mary Sattler,Alaska,Democratic,D,0
P000618,Porter,Katie,California,Democratic,D,47
P000616,Phillips,Dean,Minnesota,Democratic,D,3
P000615,Pence,Greg,Indiana,Republican,R,6
P000599,Posey,Bill,Florida,Republican,R,8
N000194,Nickel,Wiley,North Carolina,Democratic,D,13
N000179,Napolitano,Grace F.,California,Democratic,D,31
M001221,Molinaro,Marcus J.,New York,Republican,R,19
M001195,Mooney,Alexander X.,West Virginia,Republican,R,2
M001159,McMorris Rodgers,Cathy,Washington,Republican,R,5
M001156,McHenry,Patrick T.,North Carolina,Republican,R,10
M001135,Manning,Kathy E.,North Carolina,Democratic,D,6
L000605,Lee Carter,Erica,Texas,Democratic,D,18
L000604,Lopez,Greg,Colorado,Republican,R,4
L000589,Lesko,Debbie,Arizona,Republican,R,8
L000569,Luetkemeyer,Blaine,Missouri,Republican,R,3
L000564,Lamborn,Doug,Colorado,Republican,R,5
L000551,Lee,Barbara,California,Democratic,D,12
L000266,LaTurner,Jake,Kansas,Republican,R,2
K000382,Kuster,Ann M.,New Hampshire,Democratic,D,2
K000381,Kilmer,Derek,Washington,Democratic,D,6
K000380,Kildee,Daniel T.,Michigan,Democratic,D,8
G000577,Graves,Garret,Louisiana,Republican,R,6
G000377,Granger,Kay,Texas,Republican,R,12
G000061,Garcia,Mike,California,Republican,R,27
F000465,Ferguson,A. Drew,Georgia,Republican,R,3
E000215,Eshoo,Anna G.,California,Democratic,D,16
D000633,Duarte,John S.,California,Republican,R,13
D000632,D'Esposito,Anthony,New York,Republican,R,4
D000615,Duncan,Jeff,South Carolina,Republican,R,3
C001135,Chavez-DeRemer,Lori,Oregon,Republican,R,5
C001134,Caraveo,Yadira,Colorado,Democratic,D,8
C001097,Cárdenas,Tony,California,Democratic,D,29
C001090,Cartwright,Matt,Pennsylvania,Democratic,D,8
C001054,Carl,Jerry L.,Alabama,Republican,R,1
B001311,Bishop,Dan,North Carolina,Republican,R,8
B001275,Bucshon,Larry,Indiana,Republican,R,8
B001248,Burgess,Michael C.,Texas,Republican,R,26
B001224,Bush,Cori,Missouri,Democratic,D,1
B001223,Bowman,Jamaal,New York,Democratic,D,16
B000574,Blumenauer,Earl,Oregon,Democratic,D,3
A000376,Allred,Colin Z.,Texas,Democratic,D,32
C001070,Casey,"Robert P., Jr.",Pennsylvania,Democratic,D,0
T000464,Tester,Jon,Montana,Democratic,D,0
S001191,Sinema,Kyrsten,Arizona,Independent,Other,0
S000770,Stabenow,Debbie,Michigan,Democratic,D,0
R000615,Romney,Mitt,Utah,Republican,R,0
M001183,Manchin,"Joe, III",West Virginia,Independent,Other,0
C000174,Carper,Thomas R.,Delaware,Democratic,D,0
