UID,lastName,firstName,state,party,party_code,district
P000603,Paul,Rand,Kentucky,Republican,R,0
P000145,Padilla,Alex,California,Democratic,D,0
O000174,Ossoff,Jon,Georgia,Democratic,D,0
M001111,Murray,Patty,Washington,Democratic,D,0
M001169,Murphy,Christopher,Connecticut,Democratic,D,0
M001153,Murkowski,Lisa,Alaska,Republican,R,0
M001242,Moreno,Bernie,Ohio,Republican,R,0
M000934,Moran,Jerry,Kansas,Republican,R,0
M001244,Moody,Ashley,Florida,Republican,R,0
M001176,Merkley,Jeff,Oregon,Democratic,D,0
M001243,McCormick,David,Pennsylvania,Republican,R,0
M000355,McConnell,Mitch,Kentucky,Republican,R,0
M001198,Marshall,Roger,Kansas,Republican,R,0
M000133,Markey,Edward J.,Massachusetts,Democratic,D,0
L000571,Lummis,Cynthia M.,Wyoming,Republican,R,0
L000570,Luján,Ben Ray,New Mexico,Democratic,D,0
L000577,Lee,Mike,Utah,Republican,R,0
L000575,Lankford,James,Oklahoma,Republican,R,0
